id,text,created_at,state,county,city
1382106093359407104,Got my second dose of vaccine today :) #PfizerVaccine #CovidVaccine,2021-04-13 22:59:05,Illinois,Saline County,Raleigh
1382105859686338561,"Key points: less than one in a mil; vaccinations paused in ""abundance of caution""; the monitoring system WORKS! and… https://t.co/cB4hCt2rTI",2021-04-13 22:58:09,Maryland,Baltimore City,Baltimore
1382105798927597572,Here is the latest allocation of #COVID19 vaccine for the week of April 19. These numbers do not include any Johnso… https://t.co/NWJYvN0K44,2021-04-13 22:57:55,Washington,Thurston County,Olympia
1382105083580608515,In clinic today almost ALL of my patients had either already gotten their #CovidVaccine or were scheduled. 🙌🏽… https://t.co/RfSB9EGnaQ,2021-04-13 22:55:04,Illinois,Cook County,Chicago
1382105064160911360,"FISM News | April 13, 2021

https://t.co/I4aYtmwPrU

#DaunteWright #BidenBorderCrisis #NewZealand #CovidVaccine… https://t.co/IMNeyQmpAE",2021-04-13 22:55:00,None,None,None
1382104425615958017,There is NO REASON for people to wait in these long lines! It defeats the purpose of SOCIAL DISTANCE. Sign up close… https://t.co/XfBRZRxzlN,2021-04-13 22:52:27,Nevada,Clark County,Las Vegas
1382104290416820228,8/ We must continue to spread awareness of the benefits of getting vaccinated as well as make the vaccine more acce… https://t.co/TTey1h69Mt,2021-04-13 22:51:55,Texas,Tarrant County,Arlington
1382104129946931207,When your house is for sale and you gotta leave for showings but you had your second #Moderna shot and you think yo… https://t.co/cxpjkDG5nB,2021-04-13 22:51:17,Michigan,None,None
1382103923318722570,The #JohnsonandJohnson vaccine has made up a small part of Alabama's #CovidVaccine arsenal. But losing it will comp… https://t.co/2J4CpT1NtQ,2021-04-13 22:50:28,Alabama,Mobile County,Mobile
1382103868562055173,Just signed up for my second Pfizer #CovidVaccine this coming Sunday. Can't wait for my superpowers to fully arrive… https://t.co/azY7itwi5n,2021-04-13 22:50:15,Oregon,None,None
1382103811486007302,Many are surprised to learn #COVIDvaccine development began two decades ago. Dr. Fauchi shares the story in… https://t.co/2lNI7Nxbfq,2021-04-13 22:50:01,Massachusetts,Suffolk County,Boston
1382103551925698567,"Next week is going to be great!
#AppleEvent on Tuesday and getting my second #CovidVaccine 💉 on Thursday

Maybe I’l… https://t.co/Tsnk0Fyi5H",2021-04-13 22:48:59,Missouri,St Louis City,St Louis
1382103493289201664,Traffic control/parking lot volunteers needed for this Thursday's (April 15) Mass COVID-19 Vaccination clinic at th… https://t.co/qBdb265SeF,2021-04-13 22:48:45,Washington,Walla Walla County,Walla Walla
1382103452436856832,It’s good #smallbiz 2 get #vaccinated #CovidVaccine #COVID19 #smallbusinesses https://t.co/Obzt6oTKMJ,2021-04-13 22:48:35,District of Columbia,District of Columbia,Washington
1382102863355248648,It’s good #smallbiz 2 get #vaccinated #SmallBusinesses #CovidVaccine #COVID19 https://t.co/Obzt6oTKMJ,2021-04-13 22:46:15,District of Columbia,District of Columbia,Washington
1382102829595205632,Got my first dose of #CovidVaccine  today... I don’t know why but I felt a bit emotional after. https://t.co/8mGlZvUxxs,2021-04-13 22:46:07,California,None,None
1382102307689562115,"@pfizer THANK YOU for my first dose! Wasn’t painful, left no bruises, no after effects, I absolutely feel great! I’… https://t.co/NG0FFRtWt4",2021-04-13 22:44:03,Nevada,Clark County,Las Vegas
1382102214639038470,"Abt $JNJ #COVIDVaccine , even $AZN for that matter, if it's limited women, let alone 1 in more than a million, irre… https://t.co/mN6WFkcWPD",2021-04-13 22:43:40,None,None,None
1382102126801879041,Professors are assigning “extra credit” and encouraging students to get the COVID vaccine to receive the extra cred… https://t.co/sOChNXyxkx,2021-04-13 22:43:19,Indiana,Hendricks County,Brownsburg
1382101823427862531,.@NorthwesternMed thank you for a truly first-rate vaccination experience. And thank you for coming around on the v… https://t.co/1fsbnUT9lW,2021-04-13 22:42:07,Illinois,Cook County,Chicago
1382101198489190405,NEED SOME ADVICE: I get my second shot of Moderna tomorrow which I’ve heard can be rough. Any suggestions on how to… https://t.co/b9JV5uNcvk,2021-04-13 22:39:38,New York,New York County,New York
1382101127429242887,They weren't kidding about that second shot wipe-out. Just over four hours since vaccination and I already have a f… https://t.co/JY6AUzgjnk,2021-04-13 22:39:21,Georgia,Fulton County,Atlanta
1382101120324091910,Please tell me @BilldeBlasio and @NYGovCuomo got the #CovidVaccine   The #JohnsonandJohnson one. #billdebasio… https://t.co/eI5nqsN8Oo,2021-04-13 22:39:19,New York,New York County,New York
1382100725342339076,Keep this in mind regarding the @JNJCares #Covid19 vaccine: The chances of developing these complications are less… https://t.co/uLJqObd3PB,2021-04-13 22:37:45,Florida,Hillsborough County,Tampa
1382100421397913601,UPDATED STORY: #Michigan halts J&amp;J vaccinations as sites scramble to switch to Moderna or Pfizer… https://t.co/Q2Dw09xZHm,2021-04-13 22:36:33,Michigan,Wayne County,Detroit
1382100252107362304,Second Pfizer shot done!!!! So Excited!!!!  #CovidVaccine #Pfizer https://t.co/arjdTmycms,2021-04-13 22:35:52,Ohio,Cuyahoga County,Cleveland
1382100215470161928,Should We Write an Ode to the COVID-19 Vaccine? #COVID19vaccine #COVIDvaccine #Vaccines Please click on the link:… https://t.co/nq3p4eqz5V,2021-04-13 22:35:44,Maryland,None,None
1382099978873667586,2nd #CovidVaccine done! Thank you @101stAASLTDIV and @wolsteincenter!,2021-04-13 22:34:47,Ohio,None,None
1382099974368980994,So how about those #bragging  they got the #JohnsonandJohnson single shot? Feelin like a big #shot now?… https://t.co/o4hd7qMz0V,2021-04-13 22:34:46,New York,New York County,New York
1382099564057010180,Just arrived at CVS for PFIZER jab #2 !!! #CovidVaccine,2021-04-13 22:33:08,Pennsylvania,Philadelphia County,Philadelphia
1382099219520004098,"Holocaust survivor has a message to Americans...

""Medical mandates, today, are a major step backwards toward a fas… https://t.co/0UWQqp7Bd4",2021-04-13 22:31:46,Alaska,None,None
1382098829680508929,The U.S has put a halt on distributing the #JohnsonJohnsonvaccine. Learn more here: https://t.co/lUBjRuC46O… https://t.co/Laa19OiTEN,2021-04-13 22:30:13,New Jersey,Ocean County,Lakewood
1382098603758428160,Just made my appointment to get the Bill and Melinda Gates microchip vaccine @hasanthehun. Can't wait to get tracke… https://t.co/xnvZTyKZ9Y,2021-04-13 22:29:19,Washington,King County,Seattle
1382098507843174407,"First dose! Lesssgo!

#furry #furryart #wolf #canine #CovidVaccine https://t.co/Yimaq7VgR1",2021-04-13 22:28:57,Texas,None,None
1382097736997216262,"According to @TNDeptofHealth in Health Committee today, @GovBillLee is okay with private businesses denying service… https://t.co/FKQrwTJden",2021-04-13 22:25:53,None,None,None
1382096850740682752,"Wouldn't it be great if there was a ""reward system"" for those received #CovidVaccine? checkout lines, @TSA, movie s… https://t.co/tcf3aZavJv",2021-04-13 22:22:21,Hawaii,Honolulu County,Honolulu
1382096278327283712,"#JohnsonandJohnson can't even make baby powder right... no thanks. Also they don't use #MRNA, they use #Adenovirus… https://t.co/ouh8dWUVb8",2021-04-13 22:20:05,New York,None,None
1382095788378046471,2nd shot done. And that’s that!  #CovidVaccine https://t.co/Z4V6PxEcn4,2021-04-13 22:18:08,Georgia,Fulton County,Atlanta
1382095392842649601,"Already been a little over six hours since my first dose, and aside of the ungodly arm pain I’m experiencing right… https://t.co/MWnp0KXIDY",2021-04-13 22:16:34,Florida,None,None
1382094916545875970,Got my COVID vaccine today!!! Barely felt it!! #covidvaccine #pfeizersarsco2vac #MakingHistoryAtOhioHealth https://t.co/sOXpbRMUnf,2021-04-13 22:14:40,Ohio,Franklin County,Columbus
1382094895192629249,@Anewdaw36571218 @lindyli @joncoopertweets @USMC I got Moderna. A few side effects like aches went right away. I’m… https://t.co/NQZgTbMjf7,2021-04-13 22:14:35,Connecticut,None,None
1382094662354280451,Child I was about to lose my shit!! I have an enlarged lymph node on my chest next to the shoulder of the arm I got… https://t.co/cMzTX1TzKc,2021-04-13 22:13:40,Michigan,Wayne County,Detroit
1382094528559992833,No appointment needed! Location is Tuckaseegee &amp; Freedom Drive. #CovidVaccine @FOX46News https://t.co/UUNTlHl1ko,2021-04-13 22:13:08,North Carolina,Mecklenburg County,Charlotte
1382094488651362304,Fully vaxxed as of today! 💉💉 #PfizerGang #CovidVaccine #GetVaccinated Thankful for science and all of our #HealthcareHeroes,2021-04-13 22:12:58,Utah,Salt Lake County,Salt Lake City
1382094407600586758,Tune into our Facebook Live tomorrow at 3:00 PM. We'll be discussing adolescence and the COVID-19 vaccine. #COVID19… https://t.co/KZqyBbZSaR,2021-04-13 22:12:39,Alabama,Jefferson County,Birmingham
1382094248946720768,"This looks epic, #LosAngeles! Get in on the fun &amp; get vaccinated!! 👏🏽👏🏽👏🏽 #VaccinesSaveLives #GetVaccinated… https://t.co/6U7mPVrbXf",2021-04-13 22:12:01,California,Los Angeles County,Los Angeles
1382094135260114947,It’s happening! #GetVaccinated #CovidVaccine https://t.co/zWmxZDKa8g,2021-04-13 22:11:34,California,Santa Clara County,San Jose
1382094021309390854,Nothing feels better than knowing I got my second #modernavaccine - I’m one of the millions of Americans rolling up… https://t.co/nbYpxEPkPX,2021-04-13 22:11:07,Texas,None,None
1382092689106112516,"Do you have questions about the COVID-19 Vaccine? Check out this excellent Tyler Perry Special, breaking down all t… https://t.co/ns2c35MSKP",2021-04-13 22:05:49,Iowa,None,None
1382092481735532544,"#ComingUp tomorrow on the #NickandKyleShow with @nmorgasenradio &amp; @KHirsk

5PM ET: https://t.co/dX3C7IfJGm

Topics:… https://t.co/AUzkYN9ib3",2021-04-13 22:05:00,New York,None,None
1382092007749922819,"Vaxed up and ready to party*!! 🎉😎💃🏼 SO grateful! 

*in 2 weeks, just in time for my 40th birthday! 🥳 #YayScience… https://t.co/2Vj201xVFs",2021-04-13 22:03:07,Oklahoma,None,None
1382091646444175364,"In need of a #Moderna #CovidVaccine appointment in Florida? Unusually so, Publix has their booking site still open… https://t.co/9oy8sf7tBk",2021-04-13 22:01:41,Florida,None,None
1382091498490060802,"Glad to see #covidvaccines #ramadan #Trending on #twitter right now! 

#MedTwitter #NurseTwitter remember this for… https://t.co/RSXcu2zQgR",2021-04-13 22:01:05,Pennsylvania,None,None
1382091287797628928,"I took my first dose of the #COVIDvaccine
Help end the pandemic by taking the vaccine when it's available to you.… https://t.co/SFNeWr7Cpr",2021-04-13 22:00:15,Texas,Harris County,Houston
1382090233710252043,The @US_FDA and the @CDCgov are recommending the US pause Johnson &amp; Johnson #COVIDvaccine distribution after report… https://t.co/CJujgbmbzo,2021-04-13 21:56:04,Massachusetts,Middlesex County,Cambridge
1382090130509459457,Worth the 2 Minutes to hear what YOUR Soldiers have to say about Service to the Nation in the fight against… https://t.co/O2EM4lVZaO,2021-04-13 21:55:39,Texas,None,None
1382089972799434755,#April13th #TerrificTuesday🌞  @Rana4NY Good Evening Rana Novini @Rana4NY . Rana Novini's Live in #NBC4NY.… https://t.co/05TguPM6v2,2021-04-13 21:55:02,New York,New York County,New York
1382089769237237763,Please see important information from the @US_FDA &amp; @CDCgov regarding the Johnson &amp; Johnson #CovidVaccine. 👇🎩 https://t.co/Y8bkXo0Esu,2021-04-13 21:54:13,North Carolina,Forsyth County,Winston-Salem
1382089639868076032,Second shot and done!! #CovidVaccine #cvs #Pfizer @ CVS Pharmacy https://t.co/OQ1Fb78ptS,2021-04-13 21:53:42,North Carolina,Forsyth County,Winston-Salem
1382089601792278532,#COVID19 #CovidVaccine #vaccine #vaccines #Moderna #Pfizer #AstraZeneca #Florida #Jacksonville #Tallahassee… https://t.co/1JMCHvbtPe,2021-04-13 21:53:33,Florida,None,None
1382089501619712000,@stephjantzen Bottom line is that people should not freak out if they’ve recently gotten a @JNJNews #CovidVaccine recently.,2021-04-13 21:53:09,Illinois,Dupage County,Naperville
1382089337500700673,Read Quick #COVID19 #CovidVaccine https://t.co/SeW3Ij4pro,2021-04-13 21:52:30,None,None,None
1382089286636421120,"Pro-Vaxxer right here.  Feels soooo good.
#CovidVaccine #dc #DCStatehood https://t.co/rLejajk2PX",2021-04-13 21:52:18,District of Columbia,District of Columbia,Washington
1382089255665733634,#JandJ pause comes out of “an abundance of caution” as federal regulators investigate rare cases of people getting… https://t.co/xbeULrLOg0,2021-04-13 21:52:11,Illinois,Cook County,Chicago
1382089126023954446,No Paul. They’re definitely still the dumb ones. #CovidVaccine https://t.co/e3scqTdspM,2021-04-13 21:51:40,Vermont,None,None
1382088829339897865,Experts say they’re still trying to investigate whether the vaccine actually caused these rare side effects. My lat… https://t.co/ZNEZE2F8v5,2021-04-13 21:50:29,New York,None,None
1382088739304902661,"Don't throw out your umbrella in the middle of a rainstorm just because you're not getting wet. 

Get your #CovidVaccine.",2021-04-13 21:50:08,North Carolina,Wake County,Raleigh
1382088673525706760,Health experts say majority who received #JohnsonandJohnson #CovidVaccine and don’t show symptoms shouldn’t be conc… https://t.co/dgqBsH6f9t,2021-04-13 21:49:52,New York,New York County,New York
1382087811642318850,Shot one done! #CovidVaccine,2021-04-13 21:46:26,South Dakota,None,None
1382087800661680129,".00008571 

Any guesses? Here’s a clue: #CovidVaccine",2021-04-13 21:46:24,New York,None,None
1382087764296994819,#psa ⁦@StaplesStores⁩ will laminate your #covidvaccine card for free!! https://t.co/BqPmk7Imqb,2021-04-13 21:46:15,Massachusetts,Suffolk County,Boston
1382087577549819904,"@CoMo_HealthDept Thank you! I got my second jab today! Still wearing and making masks, too! Our family's… https://t.co/UPJritWZKg",2021-04-13 21:45:31,Missouri,Boone County,Columbia
1382087447631294475,"""Are Employers Required to Pay For Employee Time Spent Receiving COVID-19 Vaccine?"" https://t.co/gW5FC3i8i0 #EmpLaw… https://t.co/h6BJkvqDOU",2021-04-13 21:45:00,Colorado,None,None
1382087080537382924,Atlanta: @EmoryUniversity physician Dr. Carlos Del Rios says 1 out of a million will have severe side effects from… https://t.co/QWJ2V4CPpy,2021-04-13 21:43:32,Georgia,Fulton County,Atlanta
1382086747333464070,"Nbd, just doin my part to protect the galaxy! #Moderna #GetVaccinated #CovidVaccine https://t.co/BzYMGwwGU5",2021-04-13 21:42:13,Minnesota,None,None
1382086724281626630,"Circle, circle, dot, dot, now I've had my Covid shots. #CovidVaccine https://t.co/thRTgk3Pgk",2021-04-13 21:42:07,Arkansas,None,None
1382086530790006789,Superb thread of #CovidVaccine information presented in clear diagrams - suitable for sharing widely - unroll pleas… https://t.co/XJXExXLpQP,2021-04-13 21:41:21,Virginia,Suffolk City,Suffolk
